강의명,Day 구분,강의 지급일,교안 링크,그 외 참고사항,담당자,롤아웃,리뉴얼,마감일까지,사용처,상태,신호등,연결,완료 개수,요약노트,진척도,"챕터별 교안 제작 마감 일자 ",챕터별 예상 분량,체크박스,커리큘럼 시트,트랙명
(v2.0) 웹개발이 처음이어도 쉽게 배우는 GPT 웹개발,마감,,,,"유현승(콘텐츠팀), 김지민(KDT교육운영팀)",2025년 12월 31일,,D+64,KDC,완료,,"커리큘럼(목차) 설계 (https://www.notion.so/2ce2dc3ef51480729b75f337e10bd672?pvs=21), 교안제작 (https://www.notion.so/2ce2dc3ef514808ab246f912d8a41535?pvs=21), 리허설 촬영 (1-1) (https://www.notion.so/1-1-2ce2dc3ef51480de9c76f5871799653d?pvs=21), CH1 - 촬영 (https://www.notion.so/CH1-2ce2dc3ef51480d6b58bdedd563737ed?pvs=21), CH1 - 편집 (https://www.notion.so/CH1-2ce2dc3ef51480d5a905cc66ab8f76cf?pvs=21), CH1 - 검수 (https://www.notion.so/CH1-2ce2dc3ef5148056b1e5eff847de45e5?pvs=21), 교안제작 (https://www.notion.so/2ce2dc3ef51480e2a985c2e61b85b5ec?pvs=21), CH2 - 촬영  (https://www.notion.so/CH2-2ce2dc3ef5148050a0d8e4ad29e34254?pvs=21), CH2 - 편집  (https://www.notion.so/CH2-2ce2dc3ef514801ba29fd70a75e39d9e?pvs=21), CH2 - 검수 (https://www.notion.so/CH2-2ce2dc3ef5148092a692e9f370922434?pvs=21), 교안제작 (https://www.notion.so/2ce2dc3ef51480238f72ddb6cbf77bc8?pvs=21), CH3 - 촬영 (https://www.notion.so/CH3-2ce2dc3ef514804aa53cd2a420e5267f?pvs=21), CH3 - 편집 (https://www.notion.so/CH3-2ce2dc3ef5148065971ad0d9d2ecf0d3?pvs=21), CH3 - 검수 (https://www.notion.so/CH3-2ce2dc3ef51480be8e25d1cffe016b94?pvs=21), 커리큘럼(목차) 설계 (https://www.notion.so/2ce2dc3ef51480b8bbe7ec415e10bbdf?pvs=21), 교안제작 (https://www.notion.so/2ce2dc3ef5148016b089e741668cceaf?pvs=21), CH4 - 촬영 (https://www.notion.so/CH4-2ce2dc3ef51480b2976af21c459b25f7?pvs=21), CH4 - 편집 (https://www.notion.so/CH4-2ce2dc3ef51480f3bc16cd16ed087a12?pvs=21), CH4 - 검수 (https://www.notion.so/CH4-2ce2dc3ef51480d08ca8ddbcd2d656dc?pvs=21), 교안제작 (https://www.notion.so/2ce2dc3ef514800fa41ac87126f2e050?pvs=21), CH5 - 촬영 (https://www.notion.so/CH5-2ce2dc3ef514802e9bb0e0e33707f8a1?pvs=21), CH5 - 편집 (https://www.notion.so/CH5-2ce2dc3ef51480dd8846fa9158f9f3d0?pvs=21), CH5 - 검수 (https://www.notion.so/CH5-2ce2dc3ef51480e5a065ea13ff7096ad?pvs=21), 강의 롤아웃 (https://www.notion.so/2ce2dc3ef514805ab764f993cc3ab246?pvs=21)",24/24,No,1,,,No,,
(v1.0) 데이터 핸들링을 위한 Python & SQL 기초,마감,,,,유현승(콘텐츠팀),2026년 1월 16일,,D+48,,완료,,"교안제작 (https://www.notion.so/2ce2dc3ef5148055a521c50160ce8fed?pvs=21), CH1 - 촬영  (https://www.notion.so/CH1-2ce2dc3ef5148056a3eef656e117796c?pvs=21), CH1 - 편집 (https://www.notion.so/CH1-2ce2dc3ef514804f9d48f5031ae1b487?pvs=21), CH1 - 검수 (https://www.notion.so/CH1-2ce2dc3ef51480df8354cf4ddd96e85e?pvs=21), 교안제작  (https://www.notion.so/2ce2dc3ef51480bebe15d3d5ecbea835?pvs=21), CH2 - 촬영 (https://www.notion.so/CH2-2ce2dc3ef514806b9d0ecbf2835d9927?pvs=21), CH2 - 편집 (https://www.notion.so/CH2-2ce2dc3ef514802d9408ff351200b469?pvs=21), CH2 - 검수 (https://www.notion.so/CH2-2ce2dc3ef514803d80dcf85a605c8bbf?pvs=21), 교안제작 (https://www.notion.so/2ce2dc3ef51480a2be94d609ce39fe00?pvs=21), CH3 - 촬영 (https://www.notion.so/CH3-2ce2dc3ef5148089b6e3d351c0685570?pvs=21), CH3 - 편집 (https://www.notion.so/CH3-2ce2dc3ef514804a821ec2f53ceae76f?pvs=21), CH3 - 검수 (https://www.notion.so/CH3-2ce2dc3ef51480069d55ed642bad22fd?pvs=21), 강의 롤아웃 (https://www.notion.so/2ce2dc3ef51480d18b68f1dc535a7c7f?pvs=21)",13/13,No,1,,,No,,
(v1.0) 통계적 사고와 머신러닝 입문,마감,,,,유현승(콘텐츠팀),2026년 1월 16일,,D+48,,완료,,"강의 롤아웃 (https://www.notion.so/2d32dc3ef514804e92dbd637fadaeeff?pvs=21), 촬영 (https://www.notion.so/2d32dc3ef5148082917ed8a207b513d6?pvs=21), 편집 (https://www.notion.so/2d32dc3ef514809b9350c2fe0cc7e5a5?pvs=21), 검수 (https://www.notion.so/2d32dc3ef51480c3853ae0a2583b6f3e?pvs=21), 촬영 (https://www.notion.so/2d32dc3ef514809ea931cb64bd42c8c9?pvs=21), 편집 (https://www.notion.so/2d32dc3ef51480378b8ad77f5e761f66?pvs=21), 검수 (https://www.notion.so/2d32dc3ef51480fdad18c2fa95705ffe?pvs=21), 추가 촬영 (실습) (https://www.notion.so/2e02dc3ef514803c9c68cc7278fee3ba?pvs=21), 추가 촬영 (https://www.notion.so/2e02dc3ef51480349c7ddc44e191def9?pvs=21), 추가 편집 (https://www.notion.so/2e02dc3ef51480dfa7bdd5216b1df14c?pvs=21), 추가 검수 (https://www.notion.so/2e02dc3ef514806d81c4f76df2284c50?pvs=21), 추가 편집 (https://www.notion.so/2e02dc3ef51480aaae33eef2c4165513?pvs=21), 추가 촬영 (https://www.notion.so/2e02dc3ef51480e7a932efd3b526eef2?pvs=21)",13/13,No,1,,,No,,
"(v2.3) 신입사원 필수 입문, 실무형 AI - 문서·보고서·업무자동화",마감,,,,"유현승(콘텐츠팀), 김지민(KDT교육운영팀)",2025년 12월 19일,,D+76,KDC,완료,,,0/0,No,,,,No,,
(v2.0) 클라우드 기반 백엔드 설계,마감,,,,장수미(KDT교육운영팀),2026년 3월 4일,전체 리뉴얼 (기존 강의 전면 개편),D+1,KDT,완료,,"CH1 교안제작 (https://www.notion.so/CH1-2d12dc3ef5148068b5a8df384f517c14?pvs=21), CH2 교안제작 (https://www.notion.so/CH2-2d12dc3ef514805a8eafe5f9aee920ff?pvs=21), CH3 교안제작 (https://www.notion.so/CH3-2d12dc3ef51480c294e3f5185008166f?pvs=21), CH4 교안제작 (https://www.notion.so/CH4-2d12dc3ef51480ccbca5df8ad9bcda5d?pvs=21), CH5 교안제작 (https://www.notion.so/CH5-2d12dc3ef514807d9b0cd55c9666cc49?pvs=21), CH1~3 강의 롤아웃 (https://www.notion.so/CH1-3-2d12dc3ef51480878240d6ac965eca2e?pvs=21), 리허설 촬영 (https://www.notion.so/2d52dc3ef51480889ebadd400fe2c4dd?pvs=21), CH1 촬영 (https://www.notion.so/CH1-2d52dc3ef51480f3a5adea26d10b9e87?pvs=21), CH1 편집 (https://www.notion.so/CH1-2d52dc3ef51480a3a3f8fe15ae40e767?pvs=21), CH1 검수 (https://www.notion.so/CH1-2d52dc3ef51480278b7eed6c7bcd8481?pvs=21), CH2 촬영 (https://www.notion.so/CH2-2d52dc3ef51480338992fe10d5c81482?pvs=21), CH2 편집 (https://www.notion.so/CH2-2d52dc3ef514807186c6ecd713d49ffa?pvs=21), CH2 검수 (https://www.notion.so/CH2-2d52dc3ef51480049876e88d91e95972?pvs=21), CH3 촬영 (https://www.notion.so/CH3-2d52dc3ef51480debd8ee0d73fd72de3?pvs=21), CH3 편집 (https://www.notion.so/CH3-2d52dc3ef51480d1870cdd0f4988fdd6?pvs=21), CH3 검수 (https://www.notion.so/CH3-2d52dc3ef51480d4892df3e5922c8319?pvs=21), CH4 촬영 (https://www.notion.so/CH4-2d52dc3ef5148026b7a1e696e443bd2e?pvs=21), CH4 편집 (https://www.notion.so/CH4-2d52dc3ef514804e8897f48858e6d483?pvs=21), CH4 검수 (https://www.notion.so/CH4-2d52dc3ef5148097bd1df3798e6a590e?pvs=21), CH5 촬영 (https://www.notion.so/CH5-2d52dc3ef51480699843d4e351b134eb?pvs=21), CH5 편집 (https://www.notion.so/CH5-2d52dc3ef51480eb8e1ef4f3887522cd?pvs=21), CH5 검수 (https://www.notion.so/CH5-2d52dc3ef5148053bc7adb206dd3dd85?pvs=21), CH4~5 강의 롤아웃 (https://www.notion.so/CH4-5-2da2dc3ef51480ca9133c1e5a25ca13b?pvs=21), CH4 자막 (https://www.notion.so/CH4-30d2dc3ef514804abf69c6dd807eee9b?pvs=21), CH5 자막 (https://www.notion.so/CH5-30d2dc3ef51480f780bcfbf40506d796?pvs=21)",25/25,No,1,,,No,,
(v1.0) AI Literacy,마감,,,,박진영(교육운영실),2026년 1월 7일,,D+57,KDT-온보딩,완료,,제목 없음 (https://www.notion.so/2d52dc3ef514805a9bc2ddaadc9946ca?pvs=21),0/0,No,,,,No,,
(v1.0) 게임 디자이너 Photoshop 원화 입문,마감,,,,박응수(콘텐츠팀),2026년 1월 19일,신규 제작,D+45,KDT,완료,,"제목 없음 (https://www.notion.so/2d52dc3ef514805a9bc2ddaadc9946ca?pvs=21), 검수 (https://www.notion.so/2df2dc3ef5148019b98fe2a2891518fd?pvs=21), 검수 (https://www.notion.so/2df2dc3ef514807099d3d7fd5144900f?pvs=21), 검수 (https://www.notion.so/2df2dc3ef51480cc8324d87cdfb02031?pvs=21), 검수 (https://www.notion.so/2df2dc3ef51480d6b36fd583122f9ff2?pvs=21), 검수 (https://www.notion.so/2df2dc3ef514801bbe4ff30f00f96860?pvs=21), 검수 (https://www.notion.so/2df2dc3ef51480b794b9ea8372b1b6f8?pvs=21), 편집 (https://www.notion.so/2e02dc3ef514808ab20ae68a0261e77b?pvs=21), 편집 (https://www.notion.so/2e22dc3ef51480a0a42ccb12b5f4b4d6?pvs=21), 편집 (https://www.notion.so/2e22dc3ef51480849b6dd523753812f5?pvs=21), 편집 (https://www.notion.so/2e22dc3ef5148031a75ff4d806968b24?pvs=21), 편집 (https://www.notion.so/2e22dc3ef51480a18dd8f3f009cddb44?pvs=21), 편집 (https://www.notion.so/2e22dc3ef51480598144c792e40debb8?pvs=21)",12/12,No,1,,,No,,
(v2.0) Unreal Engine 멀티플레이어 게임 개발,마감,,,,박진영(교육운영실),2026년 1월 9일,,D+55,KDT,완료,,"제목 없음 (https://www.notion.so/2d52dc3ef514805a9bc2ddaadc9946ca?pvs=21), 자막 검수 (https://www.notion.so/2e12dc3ef514805cb1c2f3255e860af6?pvs=21)",1/1,No,1,,,No,,
"(v1.0) 실시간 채팅을 위한 아키텍쳐 설계 ",마감,2026년 2월 23일,,,장수미(KDT교육운영팀),2026년 2월 13일,신규 제작,D+20,KDT,완료,,"제목 없음 (https://www.notion.so/2d52dc3ef514805a9bc2ddaadc9946ca?pvs=21), 목차 설계 (https://www.notion.so/2e62dc3ef5148089a93dea795d177289?pvs=21), 강의 롤아웃 (https://www.notion.so/2e62dc3ef51480a880a2ead028ba7ac0?pvs=21), CH1 교안 제작 (https://www.notion.so/CH1-2ee2dc3ef51480dab1e9cb3666a359d3?pvs=21), CH2 교안 제작 (https://www.notion.so/CH2-2ee2dc3ef5148021a164e0043e65ba2f?pvs=21), CH3 교안 제작 (https://www.notion.so/CH3-2ee2dc3ef5148027b96defc7f210ca26?pvs=21), CH4 교안 제작 (https://www.notion.so/CH4-2ee2dc3ef51480d0b244ebdf4b51c044?pvs=21), CH1 촬영 (https://www.notion.so/CH1-2ee2dc3ef514807f8f64d3cc51595e5f?pvs=21), CH1 편집 (https://www.notion.so/CH1-2ee2dc3ef51480eeb2aaef5656480e53?pvs=21), CH1 검수 (https://www.notion.so/CH1-2ee2dc3ef51480c59173c02e5d312a63?pvs=21), CH2 촬영 (https://www.notion.so/CH2-2ee2dc3ef51480dbbfaeda606d941378?pvs=21), CH2 편집 (https://www.notion.so/CH2-2ee2dc3ef51480ddbf5ad0e7a630cc58?pvs=21), CH2 검수 (https://www.notion.so/CH2-2ee2dc3ef514800ba224d46bb8fe7956?pvs=21), CH3 촬영 (https://www.notion.so/CH3-2ee2dc3ef5148001866ffce656f9f32f?pvs=21), CH3 편집 (https://www.notion.so/CH3-2ee2dc3ef51480678a2cd9d88085acc5?pvs=21), CH3 검수 (https://www.notion.so/CH3-2ee2dc3ef51480108a57f909fe6d11ed?pvs=21), CH4 촬영 (https://www.notion.so/CH4-2ee2dc3ef5148008acc5f0b148214728?pvs=21), CH4 편집 (https://www.notion.so/CH4-2ee2dc3ef5148004897eeff757b6725e?pvs=21), CH4 검수 (https://www.notion.so/CH4-2ee2dc3ef514803ea05af5bd7131df0b?pvs=21), 자료 조사&프로젝트 준비 (https://www.notion.so/2ef2dc3ef514804389e7c6f0c1c90b1e?pvs=21), 리허설 촬영 (https://www.notion.so/2ef2dc3ef514809ea164f0582447360e?pvs=21)",20/20,No,1,,1.5 / 1.5 / 2 / 2,No,,커머스 스프링
(v1.0) 부업을 부르는 AI PPT 수익화,W4 이내 완료,2026년 3월 31일,,,박응수(콘텐츠팀),2026년 3월 31일,신규 제작,D-25,신사업,진행 중,🟠,"제목 없음 (https://www.notion.so/2d52dc3ef514805a9bc2ddaadc9946ca?pvs=21), 목차 설계 (https://www.notion.so/2fb2dc3ef51480aa938fea027a7532c0?pvs=21), 교안 제작 (https://www.notion.so/2fb2dc3ef5148080b9c9c4eea2f807cd?pvs=21), 촬영 (https://www.notion.so/2fb2dc3ef51480dc89a0ee4446af984e?pvs=21)",1/3,No,0.3333333333333333,,,No,https://docs.google.com/spreadsheets/d/11XAFw_Tyx8HQ-z5aohmkk7cGY5r5kqAE7Yy_1RZZqVw/edit?gid=1634041012#gid=1634041012,
